2025-10-26T11:02:16.946+0800	INFO	svr/svr.go:101	Document manager started
2025-10-26T11:02:16.947+0800	INFO	imgagent/main.go:85	Server is running at :8000
2025-10-26T11:02:46.948+0800	INFO	HandleImageGenTasks-1761447766	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:02:46.953+0800	INFO	HandleImageGenTasks-1761447766	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:02:46.953+0800	INFO	HandleImageGenTasks-1761447766	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:02:46.953+0800	INFO	HandleImageGenTasks-1761447766	bailian/qwen_image.go:18	Generating image for scene, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
2025-10-26T11:02:47.086+0800	ERROR	HandleImageGenTasks-1761447766	bailian/qwen_image.go:75	Generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b74d1c59-d47a-4ba0-a5b2-70203e24eb7b"}
2025-10-26T11:02:47.086+0800	ERROR	HandleImageGenTasks-1761447766	svr/document_mgr.go:312	Failed to generate image, scene: b0c4bca10de345a285959ad74390dd6c, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b74d1c59-d47a-4ba0-a5b2-70203e24eb7b"}
2025-10-26T11:02:47.086+0800	ERROR	HandleImageGenTasks-1761447766	svr/document_mgr.go:272	Failed to handle document image gen, doc: 2d0bbecabcde46ce8017dd53009a066a, err: generate image failed, status: 401, body: {"code":"InvalidApiKey","message":"Invalid API-key provided.","request_id":"b74d1c59-d47a-4ba0-a5b2-70203e24eb7b"}
2025-10-26T11:03:16.948+0800	INFO	HandleImageGenTasks-1761447796	svr/document_mgr.go:290	Handling document image generation, docID: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:03:16.953+0800	INFO	HandleImageGenTasks-1761447796	svr/document_mgr.go:304	Found 13 pending image scenes for doc: 2d0bbecabcde46ce8017dd53009a066a
2025-10-26T11:03:16.953+0800	INFO	HandleImageGenTasks-1761447796	svr/document_mgr.go:308	Generating image for scene, sceneID: b0c4bca10de345a285959ad74390dd6c, content: 安喜县馆驿后堂，张飞怒目圆睁，揪住督邮头发将其拖出，柳条在空中挥舞，即将鞭打欺压百姓的贪官，气氛紧张激烈
